,name,genre_name,number_of_episodes,popularity,vote_average,vote_count,overview,creator_names,poster_path
60,My Life as a Teenage Robot,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",76,17.484,7.5,134,"My Life as a Teenage Robot is an American animated science fantasy television series, created by Rob Renzetti for Nickelodeon. It was Nickelodeon's first animated science fiction fairy tale. The series follows the adventures of XJ-9, better known as Jenny Wakeman, a robot girl designed to protect Earth, who is excessively addicted to teen-related activities, which are almost always interrupted by Nora Wakeman, her creator and mother.",['Rob Renzetti'],/1l2olmIShEAP36T2z52IVmKh9mR.jpg
61,At Last the 1948 Show,Comedy,13,3.409,7.4,11,"A groundbreaking, splendidly silly, surreal sketch comedy series written by and starring The Goodies' Tim Brooke-Taylor, Monty Python's Graham Chapman and John Cleese, and comedy legend Marty Feldman.","['Graham Chapman', 'John Cleese', 'Tim Brooke-Taylor', 'Marty Feldman']",/jn2Y6psl6Vk48k6TjYKfytYaWc6.jpg
62,Def Comedy Jam,Comedy,29,3.162,7.4,5,"Def Comedy Jam is a HBO television series produced by Russell Simmons.

The series had its original run from July 1, 1992 to January 1, 1997. The show returned on HBO's fall lineup in 2006. Def Comedy Jam helped to launch the careers of several African-American stand-up comedians.","['Stan Lathan', 'Russell Simmons']",/ksjgVXKnovogx01Xqf9GzYKIZKq.jpg
63,Chuck Norris: Karate Kommandos,Animation,5,2.887,6.0,9,"Martial arts master Chuck Norris brings a thrilling mix of heroism and incredible athletic prowess to this animated action series, blending the courage and ingenuity of the American frontiersman with the willpower and stoicism of the samurai warrior.",['Chuck Norris'],/kDczzTni5vrIzNUz8yaiBiaqq1R.jpg
64,Night Court,Comedy,193,31.3,7.378,90,"Night Court is an American television situation comedy that aired on NBC from January 4, 1984 to May 31, 1992. The setting was the night shift of a Manhattan court, presided over by the young, unorthodox Judge Harold T. ""Harry"" Stone. It was created by comedy writer Reinhold Weege, who had previously worked on Barney Miller in the 1970s and early 1980s.",['Reinhold Weege'],/bpEVtr4NCkbmTdponemKSjt9POc.jpg
65,Martin,"Comedy, Drama",132,18.724,7.784,95,"Sassy sitcom centering on radio and television personality Martin Payne. Series focuses on his romantic relationship with girlfriend Gina, her best friend Pam and escapades with best friends Tommy and Cole.","['Martin Lawrence', 'Topper Carew', 'John Bowman']",/inQQEpHiaSy8BEd9XEFF2W39vO0.jpg
66,Nighty Night,Comedy,12,4.243,8.143,21,"Nighty Night is a British dark comedy sitcom written by and starring Julia Davis. It was first broadcast on 6 January 2004 on BBC Three before moving to BBC2.

Notorious for its dark humour, the show follows narcissistic sociopath Jill Tyrell – who manages a beauty parlour alongside her moronic, asthmatic assistant Linda – as she learns that her husband has cancer. She uses this fact to manipulate new neighbour Cathy Cole, a wheelchair user with multiple sclerosis whose husband Don, a womanising doctor, Jill has become obsessed with.

The theme tune used in the beginning of both series and during the closing credits for the first is an excerpt from the spaghetti western My Name Is Nobody, composed by the Italian film composer Ennio Morricone.

In June 2006 it was announced that Sex and the City creator Darren Star would write and be executive producer of a US version, which has been commissioned for a pilot script. Steve Coogan and Henry Normal, founders of the production company Baby Cow, were to be co-Executive-Producers.",['Julia Davis'],/4DKutubtYhgWUmTVMjlkc95p6Rx.jpg
67,Bear in the Big Blue House,Kids,118,11.013,6.8,49,"The series provides children with valuable tools for growth in key areas of music, social skill development, and cognitive learning through integrated programs combining music, movement, and exploration. With Bear and all his friends, learn about cooperation, teamwork and more.",['Mitchell Kriegman'],/hww73tErgeSOQ6YlcKjey0smc8s.jpg
68,The Game,"Drama, Comedy",147,15.745,7.9,30,"When her boyfriend Derwin Davis is chosen as the new third-string wide receiver for the San Diego Sabers, Melanie Barnett decides to attend a local college so she can be with him. While Derwin worries about the plays on the field, Melanie adjusts to her new lifestyle. She gets a play-by-play account of the lives and relationships among NFL wives, girlfriends and mom/managers who use their best game to help their men stay on the field and on their arm.",['Mara Brock Akil'],/zmvRaCRcmi6lsriYxZmAR6uWHPS.jpg
69,Sharpe,"War & Politics, Action & Adventure",18,12.3,7.595,21,"Sharpe is a British series of television dramas starring Sean Bean as Richard Sharpe, a fictional British soldier in the Napoleonic Wars. Sharpe is the hero of a number of novels by Bernard Cornwell; most, though not all, of the episodes are based on the books. Produced by Celtic Films and Picture Palace Films for the ITV network, the series was shot mainly in Turkey and the Crimea, although some filming was also done in England, Spain and Portugal.

The series originally ran from 1993 to 1997. In 2004, as part of ITV's new set of drama, ITV announced that it intended to produce new episodes of Sharpe, in co-production with BBC America, loosely based on his time in India, with Sean Bean continuing his role as Sharpe. Sharpe's Challenge is a two-part adventure; part one premiered on ITV on 23 April 2006, with part two being shown the following night. With more gore than earlier episodes, the show was broadcast by BBC America in September 2006.",,/adoq3P4qCeDquGXjtcwDDXECESH.jpg
70,Jackie Chan Adventures,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",95,41.836,8.142,699,"Jackie Chan teams up in this animé-style adventure with his 11-year-old niece, Jade, traveling the globe to locate a dozen magical talismans before the sinister Dark Hand does. Helping Jackie and Jade is Uncle, a cantankerous but wise antiquities expert. Though officially Jackie works as an archaeologist, in reality he also assists Captain Black, leader of the covert police squad Section 13.",['John Rogers'],/by2GTFpd2BQ5uJxWPlfcmfrNrfB.jpg
71,The Brittas Empire,Comedy,57,4.834,6.569,29,"The Brittas Empire is a British sitcom created and originally written by Andrew Norriss and Richard Fegen. Chris Barrie plays Gordon Brittas, the well-meaning but incompetent manager of Whitbury New Town Leisure Centre.

The show ran for seven series and 53 episodes — including two Christmas specials — from 1991 to 1997 on BBC1. Norriss and Fegen wrote the first five series, after which they left the show.

The Brittas Empire enjoyed a long and successful run throughout the 1990s, and gained itself large mainstream audiences. In 2004 the show came 47th on the BBC's Britain's Best Sitcom poll, and all series have been released on DVD.

The creators Andrew Norriss and Richard Fegen often combine farce with either surreal or dramatic elements in episodes. For example in the first series, the leisure centre prepares for a royal visit, only for the doors to seal, the boiler room to flood and a visitor to become electrocuted. Unlike the traditional sitcom, deaths were quite common in The Brittas Empire.",['Andrew Norriss'],/uPtzc6MbPxeFdIO55Kd6QiiEIdH.jpg
72,Ocean Girl,"Drama, Action & Adventure, Sci-Fi & Fantasy",78,6.197,7.0,11,"Ocean Girl is an Australian science fiction TV series aimed for family audiences and starring Marzena Godecki as the lead character. The show is set in the near future, and focuses on an unusual girl named Neri who lives alone on an island, and the friendships she develops with the inhabitants of an underwater research facility called ORCA. The show is an example of deep ecology science fiction.",['Jonathan M. Shiff'],/d5QZqkMHlwaUFGNZkHaZiSZXeOd.jpg
73,Waiting for God,Comedy,45,5.127,7.214,14,"Refusing to succumb to old age, Tom Ballard and Diana Trent are a pair of seasoned delinquents that cause many headaches. Their uneasy alliance is destined to make life difficult at the Bayview Retirement Village.",['Michael Aitkens'],/qYJyAbUI2fUyKNOMcIRaFAUgoeg.jpg
74,The Man from U.N.C.L.E.,"Action & Adventure, Comedy, Sci-Fi & Fantasy",105,13.238,7.368,38,"Agents Napoleon Solo and Illya Kuryakin work for a secret intelligence service working under the auspices of the U.N.

Their immediate superior is Mr. Waverly.

Together  they operate out of a secret base beneath the streets of New York City, and accesses through several cover business such as Del Floria's Tailor Shop and the Masque Club.

This secret intelligence service is called U.N.C.L.E.

United Network Command for Law and Enforcement.","['Sam Rolfe', 'Norman Felton']",/a0nMOwNZXyJrMTPoaCzJJZeT0Yl.jpg
75,Star Cops,Mystery,9,1.822,5.85,10,"Star Cops follows Nathan Spring and the rest of his multinational team of the International Space Police (Star Cops) as they work to establish the Star Cops and solve whatever crimes come their way. Operating in a relatively accurately realised hard SF, near-future, space environment, many of the cases that the Star Cops investigate arise from opportunities for new crimes presented by the technologically advanced future society the series depicts and from the hostile frontier nature of the environment that the Star Cops live in.",['Chris Boucher'],/tFXaUrl2TMyucSGGlG8vTmgQHhL.jpg
76,Hi Hi Puffy AmiYumi,"Animation, Comedy, Kids",117,15.372,7.322,118,"Hi Hi Puffy AmiYumi follows the adventures of two very cool, but very different pop stars as they travel from gig to gig or just hang out in their tour bus. Being famous rock stars, Ami and Yumi tour the globe in their customized Puffy bus, a veritable condo on wheels with all the major amenities and an ever-changing interior. Ami is the peppy, positive, and resourceful one. Yumi is the hard-rocking, no-nonsense cynic with an absolutely infallible sense of cool. Together, these superstars take the world by storm with musical talent, trend-setting style and humor, despite occasional misjudgments from their well-meaning but tragically square manager, Kaz.",['Sam Register'],/dVlsQzfxewEdHpu7SiVUpRAVNyU.jpg
77,Untold Stories of the ER,"Action & Adventure, Drama",169,6.399,8.1,18,"Doctors recount the most memorable cases they’ve ever encountered. Unusual, touching, humorous or life-changing – no story is too big or too small when it comes to the ER.",,/l5hg2Qe15DuAdF2Apey8NKTDpNw.jpg
78,The Sarah Jane Adventures,"Action & Adventure, Drama, Sci-Fi & Fantasy, Kids",52,12.147,7.115,78,"A British science fiction television programme that was produced by BBC Cymru Wales for CBBC, created by Russell T Davies and starring Elisabeth Sladen. It was a spin-off of the long-running science fiction show Doctor Who and focused on the adventures of Sarah Jane Smith, an investigative journalist who, as a young woman had numerous adventures across time and space with the Doctor.",['Russell T Davies'],/uGxlYj44HwZMlMv5kl3EBQQG0z.jpg
79,Picket Fences,"Drama, Comedy",88,13.773,7.7,35,Picket Fences is an American television drama about the residents of the town of Rome,['David E. Kelley'],/qADC5L8vScqkLK11ZjNjkwYN2vn.jpg
80,Garth Marenghi's Darkplace,"Comedy, Mystery, Action & Adventure, Sci-Fi & Fantasy",6,9.2,7.933,104,"When the Hellmouth opens beneath Darkplace Hospital in downtown Romford, kiddy doctor, Vietnam veteran and ex-warlock Dr. Rick Dagless M.D. is the only man who can close it. Joined by best buddy Dr. Lucien Sanchez, fiery hospital boss Thornton Reed, and woman Liz Asher, Dagless must fight the forces of Darkness while dealing with the burden of day-to-day admin. From the chilling pen of best-selling horror writer Garth Marenghi comes this lost masterpiece of televisual terror. Dare you enter Garth's Darkplace?","['Richard Ayoade', 'Billy Brown', 'Matthew Holness']",/6ojBX7UKWN4ChVeJvHMwmMCdIiH.jpg
